NAMA,NIM,NAMA_MATAKULIAH,SKS,GRADE,PERIODE,source_sheet,tahun,semester,tahun_akademik,NILAI_ANGKA
Mahasiswa 1,Mahasiswa 1,Agama,2,A-,20202,Mahasiswa 1,2020,Genap,2020-2021,3.67
Mahasiswa 1,Mahasiswa 1,Algoritma dan Pemrograman,4,C,20202,Mahasiswa 1,2020,Genap,2020-2021,2.0
Mahasiswa 1,Mahasiswa 1,Arsitektur dan Organisasi Komputer,3,A-,20202,Mahasiswa 1,2020,Genap,2020-2021,3.67
Mahasiswa 1,Mahasiswa 1,Bahasa Indonesia,2,A-,20202,Mahasiswa 1,2020,Genap,2020-2021,3.67
Mahasiswa 1,Mahasiswa 1,Bahasa Inggris 1,3,A-,20202,Mahasiswa 1,2020,Genap,2020-2021,3.67
Mahasiswa 1,Mahasiswa 1,E-Business dan Pemrograman Berbasis Web,3,C,20202,Mahasiswa 1,2020,Genap,2020-2021,2.0
Mahasiswa 1,Mahasiswa 1,Etika Profesi dan Hak Kekayaan Intelektual,3,B+,20202,Mahasiswa 1,2020,Genap,2020-2021,3.33
Mahasiswa 1,Mahasiswa 1,Gudang Data dan Penambangan Data,3,B+,20212,Mahasiswa 1,2021,Genap,2021-2022,3.33
Mahasiswa 1,Mahasiswa 1,Interaksi Manusia dan Komputer,3,A,20202,Mahasiswa 1,2020,Genap,2020-2021,4.0
Mahasiswa 1,Mahasiswa 1,Jaringan Area Luas,3,A-,20202,Mahasiswa 1,2020,Genap,2020-2021,3.67
Mahasiswa 1,Mahasiswa 1,Kalkulus I,3,A-,20202,Mahasiswa 1,2020,Genap,2020-2021,3.67
Mahasiswa 1,Mahasiswa 1,Kalkulus II,3,C,20202,Mahasiswa 1,2020,Genap,2020-2021,2.0
Mahasiswa 1,Mahasiswa 1,Keamanan Teknologi Informasi,3,A,20211,Mahasiswa 1,2021,Ganjil,2021-2022,4.0
Mahasiswa 1,Mahasiswa 1,Kepemimpinan dan Manajemen untuk Insinyur IT,3,A,20211,Mahasiswa 1,2021,Ganjil,2021-2022,4.0
Mahasiswa 1,Mahasiswa 1,Keterampilan Antarpribadi,2,A,20211,Mahasiswa 1,2021,Ganjil,2021-2022,4.0
Mahasiswa 1,Mahasiswa 1,Kewirausahaan Berbasis Teknologi,3,A,20212,Mahasiswa 1,2021,Genap,2021-2022,4.0
